fighter,fighter_url,record,nickname,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,raw_stats_json
Raul Rosas Jr.,http://ufcstats.com/fighter-details/fe2babf95de24fb1,12-1-0,El Nino Problema,"5' 9""",135 lbs.,"67""",Switch,"Oct 08, 2004",1.34,42%,1.24,,6.10,54%,25%,0.9,"{""Height"": ""5' 9\"""", ""Weight"": ""135 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Switch"", ""DOB"": ""Oct 08, 2004"", ""SLpM"": ""1.34"", ""Str. Acc."": ""42%"", ""SApM"": ""1.24"", ""Str. Def"": ""52%"", ""TD Avg."": ""6.10"", ""TD Acc."": ""54%"", ""TD Def."": ""25%"", ""Sub. Avg."": ""0.9""}"
Drew Dober,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,29-15-0 (1 NC),,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.48,41%,4.33,,0.61,16%,58%,0.1,"{""Height"": ""5' 8\"""", ""Weight"": ""155 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Oct 19, 1988"", ""SLpM"": ""4.48"", ""Str. Acc."": ""41%"", ""SApM"": ""4.33"", ""Str. Def"": ""53%"", ""TD Avg."": ""0.61"", ""TD Acc."": ""16%"", ""TD Def."": ""58%"", ""Sub. Avg."": ""0.1""}"
Gregory Rodrigues,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,19-6-0,Robocop,"6' 3""",185 lbs.,"75""",Orthodox,"Feb 17, 1992",5.53,51%,4.78,,1.90,34%,75%,0.4,"{""Height"": ""6' 3\"""", ""Weight"": ""185 lbs."", ""Reach"": ""75\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 17, 1992"", ""SLpM"": ""5.53"", ""Str. Acc."": ""51%"", ""SApM"": ""4.78"", ""Str. Def"": ""50%"", ""TD Avg."": ""1.90"", ""TD Acc."": ""34%"", ""TD Def."": ""75%"", ""Sub. Avg."": ""0.4""}"
Cody Garbrandt,http://ufcstats.com/fighter-details/d8c7c61b176e3994,15-7-0,No Love,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.79,40%,3.66,,0.85,22%,81%,0.0,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""65\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jul 07, 1991"", ""SLpM"": ""2.79"", ""Str. Acc."": ""40%"", ""SApM"": ""3.66"", ""Str. Def"": ""58%"", ""TD Avg."": ""0.85"", ""TD Acc."": ""22%"", ""TD Def."": ""81%"", ""Sub. Avg."": ""0.0""}"
Donte Johnson,http://ufcstats.com/fighter-details/ad5cb64af10fc946,8-0-0,Lock Jaw,"5' 8""",185 lbs.,"74""",Southpaw,"Jan 25, 1999",3.11,48%,2.00,,2.00,100%,75%,0.7,"{""Height"": ""5' 8\"""", ""Weight"": ""185 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jan 25, 1999"", ""SLpM"": ""3.11"", ""Str. Acc."": ""48%"", ""SApM"": ""2.00"", ""Str. Def"": ""61%"", ""TD Avg."": ""2.00"", ""TD Acc."": ""100%"", ""TD Def."": ""75%"", ""Sub. Avg."": ""0.7""}"
Alberto Montes,http://ufcstats.com/fighter-details/a112097ad877a48f,12-1-0,The Promise,"5' 7""",145 lbs.,"69""",Orthodox,"May 31, 1994",5.26,60%,4.44,,0.00,0%,77%,6.8,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 31, 1994"", ""SLpM"": ""5.26"", ""Str. Acc."": ""60%"", ""SApM"": ""4.44"", ""Str. Def"": ""60%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""77%"", ""Sub. Avg."": ""6.8""}"
Nyamjargal Tumendemberel,http://ufcstats.com/fighter-details/17cb6d8e8187f304,10-1-0,Art of Knockout,"5' 7""",125 lbs.,"71""",Orthodox,"Mar 22, 1998",2.72,42%,2.47,,3.37,50%,56%,2.1,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Mar 22, 1998"", ""SLpM"": ""2.72"", ""Str. Acc."": ""42%"", ""SApM"": ""2.47"", ""Str. Def"": ""53%"", ""TD Avg."": ""3.37"", ""TD Acc."": ""50%"", ""TD Def."": ""56%"", ""Sub. Avg."": ""2.1""}"
Sumudaerji,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,19-7-0 (1 NC),The Tibetan Eagle,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.40,50%,2.29,,0.76,37%,73%,0.5,"{""Height"": ""5' 8\"""", ""Weight"": ""125 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jan 20, 1996"", ""SLpM"": ""4.40"", ""Str. Acc."": ""50%"", ""SApM"": ""2.29"", ""Str. Def"": ""63%"", ""TD Avg."": ""0.76"", ""TD Acc."": ""37%"", ""TD Def."": ""73%"", ""Sub. Avg."": ""0.5""}"
Diyar Nurgozhay,http://ufcstats.com/fighter-details/709fadb644ee3f51,11-2-0,,"6' 2""",205 lbs.,"74""",Southpaw,"Apr 22, 1997",4.52,59%,2.81,,1.37,75%,80%,0.0,"{""Height"": ""6' 2\"""", ""Weight"": ""205 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Apr 22, 1997"", ""SLpM"": ""4.52"", ""Str. Acc."": ""59%"", ""SApM"": ""2.81"", ""Str. Def"": ""61%"", ""TD Avg."": ""1.37"", ""TD Acc."": ""75%"", ""TD Def."": ""80%"", ""Sub. Avg."": ""0.0""}"
Rodolfo Bellato,http://ufcstats.com/fighter-details/69898645d600abdb,13-3-1 (1 NC),Trator,"6' 3""",205 lbs.,"75""",Orthodox,"Feb 05, 1996",5.37,60%,5.86,,1.38,35%,94%,0.2,"{""Height"": ""6' 3\"""", ""Weight"": ""205 lbs."", ""Reach"": ""75\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 05, 1996"", ""SLpM"": ""5.37"", ""Str. Acc."": ""60%"", ""SApM"": ""5.86"", ""Str. Def"": ""46%"", ""TD Avg."": ""1.38"", ""TD Acc."": ""35%"", ""TD Def."": ""94%"", ""Sub. Avg."": ""0.2""}"
Lone'er Kavanagh,http://ufcstats.com/fighter-details/bb2c3c3a466224af,10-1-0,,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 09, 1999",4.13,48%,3.49,,1.12,45%,94%,0.2,"{""Height"": ""5' 6\"""", ""Weight"": ""125 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jun 09, 1999"", ""SLpM"": ""4.13"", ""Str. Acc."": ""48%"", ""SApM"": ""3.49"", ""Str. Def"": ""56%"", ""TD Avg."": ""1.12"", ""TD Acc."": ""45%"", ""TD Def."": ""94%"", ""Sub. Avg."": ""0.2""}"
David Martinez,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa,14-1-0,,"5' 5""",135 lbs.,"67""",Orthodox,"Aug 03, 1998",4.82,46%,2.90,,0.60,25%,100%,0.0,"{""Height"": ""5' 5\"""", ""Weight"": ""135 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 03, 1998"", ""SLpM"": ""4.82"", ""Str. Acc."": ""46%"", ""SApM"": ""2.90"", ""Str. Def"": ""69%"", ""TD Avg."": ""0.60"", ""TD Acc."": ""25%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.0""}"
Imanol Rodriguez,http://ufcstats.com/fighter-details/6e8349a0a0476d60,7-0-0,Himan,"5' 4""",125 lbs.,"64""",Orthodox,"Nov 15, 1999",5.71,55%,2.42,,1.30,33%,0%,0.0,"{""Height"": ""5' 4\"""", ""Weight"": ""125 lbs."", ""Reach"": ""64\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 15, 1999"", ""SLpM"": ""5.71"", ""Str. Acc."": ""55%"", ""SApM"": ""2.42"", ""Str. Def"": ""58%"", ""TD Avg."": ""1.30"", ""TD Acc."": ""33%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""0.0""}"
Santiago Luna,http://ufcstats.com/fighter-details/faf317c665546a36,8-1-0,BorderBoy,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 06, 2004",4.74,53%,2.76,,2.30,71%,57%,0.9,"{""Height"": ""5' 9\"""", ""Weight"": ""135 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 06, 2004"", ""SLpM"": ""4.74"", ""Str. Acc."": ""53%"", ""SApM"": ""2.76"", ""Str. Def"": ""67%"", ""TD Avg."": ""2.30"", ""TD Acc."": ""71%"", ""TD Def."": ""57%"", ""Sub. Avg."": ""0.9""}"
Ryan Gandra,http://ufcstats.com/fighter-details/e463ce0a2ca474f4,9-1-0,Problema,"6' 1""",185 lbs.,"74""",Orthodox,"May 08, 1995",13.02,50%,1.70,,0.00,0%,100%,0.0,"{""Height"": ""6' 1\"""", ""Weight"": ""185 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 08, 1995"", ""SLpM"": ""13.02"", ""Str. Acc."": ""50%"", ""SApM"": ""1.70"", ""Str. Def"": ""81%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.0""}"
Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,13-2-0,Fiona,"5' 5""",135 lbs.,"66""",Switch,"Oct 05, 1994",2.88,56%,1.58,,4.90,49%,72%,0.2,"{""Height"": ""5' 5\"""", ""Weight"": ""135 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Switch"", ""DOB"": ""Oct 05, 1994"", ""SLpM"": ""2.88"", ""Str. Acc."": ""56%"", ""SApM"": ""1.58"", ""Str. Def"": ""56%"", ""TD Avg."": ""4.90"", ""TD Acc."": ""49%"", ""TD Def."": ""72%"", ""Sub. Avg."": ""0.2""}"
Cristian Quinonez,http://ufcstats.com/fighter-details/7debc13b36343605,19-5-0,Problema,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 26, 1996",3.67,43%,3.71,,3.14,55%,85%,0.6,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 26, 1996"", ""SLpM"": ""3.67"", ""Str. Acc."": ""43%"", ""SApM"": ""3.71"", ""Str. Def"": ""56%"", ""TD Avg."": ""3.14"", ""TD Acc."": ""55%"", ""TD Def."": ""85%"", ""Sub. Avg."": ""0.6""}"
Javier Reyes,http://ufcstats.com/fighter-details/4a574b8512fc1b30,23-6-0,Blair,"5' 7""",145 lbs.,"73""",Orthodox,"Oct 13, 1993",6.28,47%,3.06,,1.27,50%,50%,0.0,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 13, 1993"", ""SLpM"": ""6.28"", ""Str. Acc."": ""47%"", ""SApM"": ""3.06"", ""Str. Def"": ""41%"", ""TD Avg."": ""1.27"", ""TD Acc."": ""50%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.0""}"
Regina Tarin,http://ufcstats.com/fighter-details/9f5609dba6584ab2,8-0-0,Kill Bill,"5' 7""",135 lbs.,"66""",Southpaw,"Oct 19, 2004",7.60,47%,7.00,,1.00,33%,50%,0.0,"{""Height"": ""5' 7\"""", ""Weight"": ""135 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Oct 19, 2004"", ""SLpM"": ""7.60"", ""Str. Acc."": ""47%"", ""SApM"": ""7.00"", ""Str. Def"": ""57%"", ""TD Avg."": ""1.00"", ""TD Acc."": ""33%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.0""}"
Damian Pinas,http://ufcstats.com/fighter-details/fdd22e895a70e4a8,9-1-0,The Baba Yaga,"6' 1""",185 lbs.,"79""",Orthodox,"Mar 12, 2002",7.50,56%,3.75,,0.00,0%,100%,0.0,"{""Height"": ""6' 1\"""", ""Weight"": ""185 lbs."", ""Reach"": ""79\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Mar 12, 2002"", ""SLpM"": ""7.50"", ""Str. Acc."": ""56%"", ""SApM"": ""3.75"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.0""}"
Uros Medic,http://ufcstats.com/fighter-details/681399317dbf4701,13-3-0,The Doctor,"6' 1""",170 lbs.,"71""",Southpaw,"Apr 25, 1993",5.59,60%,3.42,,0.34,50%,55%,0.0,"{""Height"": ""6' 1\"""", ""Weight"": ""170 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Apr 25, 1993"", ""SLpM"": ""5.59"", ""Str. Acc."": ""60%"", ""SApM"": ""3.42"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.34"", ""TD Acc."": ""50%"", ""TD Def."": ""55%"", ""Sub. Avg."": ""0.0""}"
Melquizael Costa,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,26-8-0,The Dalmatian,"5' 10""",145 lbs.,"71""",Southpaw,"Sep 14, 1996",4.29,47%,3.19,,1.53,35%,50%,0.8,"{""Height"": ""5' 10\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Sep 14, 1996"", ""SLpM"": ""4.29"", ""Str. Acc."": ""47%"", ""SApM"": ""3.19"", ""Str. Def"": ""50%"", ""TD Avg."": ""1.53"", ""TD Acc."": ""35%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.8""}"
Serghei Spivac,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,18-6-0,Polar Bear,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",3.57,47%,4.23,,3.82,59%,63%,0.5,"{""Height"": ""6' 3\"""", ""Weight"": ""260 lbs."", ""Reach"": ""78\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 24, 1995"", ""SLpM"": ""3.57"", ""Str. Acc."": ""47%"", ""SApM"": ""4.23"", ""Str. Def"": ""52%"", ""TD Avg."": ""3.82"", ""TD Acc."": ""59%"", ""TD Def."": ""63%"", ""Sub. Avg."": ""0.5""}"
Jacobe Smith,http://ufcstats.com/fighter-details/85497ffd934ecf7e,12-0-0,Cobe,"5' 10""",170 lbs.,"72""",Southpaw,"Jan 17, 1996",6.89,67%,2.78,,7.78,91%,100%,0.7,"{""Height"": ""5' 10\"""", ""Weight"": ""170 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jan 17, 1996"", ""SLpM"": ""6.89"", ""Str. Acc."": ""67%"", ""SApM"": ""2.78"", ""Str. Def"": ""47%"", ""TD Avg."": ""7.78"", ""TD Acc."": ""91%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.7""}"
Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3,32-15-0 (2 NC),Demolidor,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993",4.28,51%,4.32,,1.11,52%,75%,0.6,"{""Height"": ""6' 1\"""", ""Weight"": ""185 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 06, 1993"", ""SLpM"": ""4.28"", ""Str. Acc."": ""51%"", ""SApM"": ""4.32"", ""Str. Def"": ""50%"", ""TD Avg."": ""1.11"", ""TD Acc."": ""52%"", ""TD Def."": ""75%"", ""Sub. Avg."": ""0.6""}"
Carlos Leal,http://ufcstats.com/fighter-details/28d421729451c8ca,23-7-0,The Lion,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994",8.75,47%,7.78,,0.43,11%,90%,0.0,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 04, 1994"", ""SLpM"": ""8.75"", ""Str. Acc."": ""47%"", ""SApM"": ""7.78"", ""Str. Def"": ""48%"", ""TD Avg."": ""0.43"", ""TD Acc."": ""11%"", ""TD Def."": ""90%"", ""Sub. Avg."": ""0.0""}"
Ode Osbourne,http://ufcstats.com/fighter-details/6d68c1afe954f121,13-9-0 (2 NC),The Jamaican Sensation,"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992",2.94,40%,3.24,,0.94,29%,66%,0.4,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jan 09, 1992"", ""SLpM"": ""2.94"", ""Str. Acc."": ""40%"", ""SApM"": ""3.24"", ""Str. Def"": ""49%"", ""TD Avg."": ""0.94"", ""TD Acc."": ""29%"", ""TD Def."": ""66%"", ""Sub. Avg."": ""0.4""}"
Alden Coria,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,12-3-0 (1 NC),Cobra,"5' 8""",125 lbs.,"67""",Orthodox,"Apr 24, 1998",4.69,44%,2.40,,1.75,50%,71%,0.0,"{""Height"": ""5' 8\"""", ""Weight"": ""125 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 24, 1998"", ""SLpM"": ""4.69"", ""Str. Acc."": ""44%"", ""SApM"": ""2.40"", ""Str. Def"": ""69%"", ""TD Avg."": ""1.75"", ""TD Acc."": ""50%"", ""TD Def."": ""71%"", ""Sub. Avg."": ""0.0""}"
Punahele Soriano,http://ufcstats.com/fighter-details/64facb6cc564262d,13-4-0,Puna,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992",4.42,53%,3.31,,1.97,51%,48%,0.1,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Nov 22, 1992"", ""SLpM"": ""4.42"", ""Str. Acc."": ""53%"", ""SApM"": ""3.31"", ""Str. Def"": ""47%"", ""TD Avg."": ""1.97"", ""TD Acc."": ""51%"", ""TD Def."": ""48%"", ""Sub. Avg."": ""0.1""}"
Jean-Paul Lebosnoyani,http://ufcstats.com/fighter-details/a3dda21be645be93,10-2-0,Mufasa,"5' 11""",170 lbs.,"72""",Switch,"Jan 27, 1999",4.77,61%,3.72,,2.79,30%,0%,1.9,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Switch"", ""DOB"": ""Jan 27, 1999"", ""SLpM"": ""4.77"", ""Str. Acc."": ""61%"", ""SApM"": ""3.72"", ""Str. Def"": ""53%"", ""TD Avg."": ""2.79"", ""TD Acc."": ""30%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""1.9""}"
Jordan Leavitt,http://ufcstats.com/fighter-details/ac026518a9b4dc0f,13-4-0,The Monkey King,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 02, 1995",2.18,58%,1.57,,2.97,30%,30%,1.2,"{""Height"": ""5' 9\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jun 02, 1995"", ""SLpM"": ""2.18"", ""Str. Acc."": ""58%"", ""SApM"": ""1.57"", ""Str. Def"": ""59%"", ""TD Avg."": ""2.97"", ""TD Acc."": ""30%"", ""TD Def."": ""30%"", ""Sub. Avg."": ""1.2""}"
Carli Judice,http://ufcstats.com/fighter-details/f1ab6f37492c630a,6-2-0,Crispy,"5' 7""",125 lbs.,"68""",Southpaw,"Mar 02, 1999",9.32,50%,6.62,,0.52,25%,80%,0.0,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Mar 02, 1999"", ""SLpM"": ""9.32"", ""Str. Acc."": ""50%"", ""SApM"": ""6.62"", ""Str. Def"": ""57%"", ""TD Avg."": ""0.52"", ""TD Acc."": ""25%"", ""TD Def."": ""80%"", ""Sub. Avg."": ""0.0""}"
Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,17-3-0,,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",5.30,48%,3.98,,1.91,38%,55%,0.8,"{""Height"": ""5' 9\"""", ""Weight"": ""135 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Switch"", ""DOB"": ""Jul 01, 1993"", ""SLpM"": ""5.30"", ""Str. Acc."": ""48%"", ""SApM"": ""3.98"", ""Str. Def"": ""54%"", ""TD Avg."": ""1.91"", ""TD Acc."": ""38%"", ""TD Def."": ""55%"", ""Sub. Avg."": ""0.8""}"
Kyoji Horiguchi,http://ufcstats.com/fighter-details/98aa60cf58071fd6,36-6-0 (1 NC),Karate Kid,"5' 4""",125 lbs.,"63""",Orthodox,"Oct 12, 1990",3.64,47%,2.08,,1.67,40%,61%,0.1,"{""Height"": ""5' 4\"""", ""Weight"": ""125 lbs."", ""Reach"": ""63\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 12, 1990"", ""SLpM"": ""3.64"", ""Str. Acc."": ""47%"", ""SApM"": ""2.08"", ""Str. Def"": ""64%"", ""TD Avg."": ""1.67"", ""TD Acc."": ""40%"", ""TD Def."": ""61%"", ""Sub. Avg."": ""0.1""}"
Rizvan Kuniev,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,13-3-1 (1 NC),,"6' 4""",240 lbs.,"76""",Orthodox,"Mar 10, 1992",3.94,54%,2.33,,0.98,75%,93%,0.0,"{""Height"": ""6' 4\"""", ""Weight"": ""240 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Mar 10, 1992"", ""SLpM"": ""3.94"", ""Str. Acc."": ""54%"", ""SApM"": ""2.33"", ""Str. Def"": ""48%"", ""TD Avg."": ""0.98"", ""TD Acc."": ""75%"", ""TD Def."": ""93%"", ""Sub. Avg."": ""0.0""}"
Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9,22-10-0 (1 NC),Hussar,"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",5.73,52%,4.45,,0.99,42%,52%,0.0,"{""Height"": ""6' 0\"""", ""Weight"": ""185 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Feb 22, 1995"", ""SLpM"": ""5.73"", ""Str. Acc."": ""52%"", ""SApM"": ""4.45"", ""Str. Def"": ""60%"", ""TD Avg."": ""0.99"", ""TD Acc."": ""42%"", ""TD Def."": ""52%"", ""Sub. Avg."": ""0.0""}"
Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,15-0-0,Ferocious,"5' 8""",135 lbs.,"71""",Orthodox,"Aug 02, 1997",4.25,52%,2.89,,3.34,44%,54%,0.3,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 02, 1997"", ""SLpM"": ""4.25"", ""Str. Acc."": ""52%"", ""SApM"": ""2.89"", ""Str. Def"": ""62%"", ""TD Avg."": ""3.34"", ""TD Acc."": ""44%"", ""TD Def."": ""54%"", ""Sub. Avg."": ""0.3""}"
Dustin Jacoby,http://ufcstats.com/fighter-details/e4277e87a789d687,22-9-1,The Hanyak,"6' 3""",205 lbs.,"76""",Orthodox,"Apr 04, 1988",5.40,48%,3.92,,0.32,25%,62%,0.0,"{""Height"": ""6' 3\"""", ""Weight"": ""205 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 04, 1988"", ""SLpM"": ""5.40"", ""Str. Acc."": ""48%"", ""SApM"": ""3.92"", ""Str. Def"": ""57%"", ""TD Avg."": ""0.32"", ""TD Acc."": ""25%"", ""TD Def."": ""62%"", ""Sub. Avg."": ""0.0""}"
Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10,14-8-0,Gladiator,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",2.74,56%,3.43,,0.40,16%,62%,0.4,"{""Height"": ""6' 1\"""", ""Weight"": ""170 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 22, 1989"", ""SLpM"": ""2.74"", ""Str. Acc."": ""56%"", ""SApM"": ""3.43"", ""Str. Def"": ""47%"", ""TD Avg."": ""0.40"", ""TD Acc."": ""16%"", ""TD Def."": ""62%"", ""Sub. Avg."": ""0.4""}"
Javid Basharat,http://ufcstats.com/fighter-details/bbab3baf66128ae2,15-2-0 (1 NC),The Snow Leopard,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 07, 1995",5.18,54%,2.75,,1.83,40%,83%,0.1,"{""Height"": ""5' 9\"""", ""Weight"": ""135 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Sep 07, 1995"", ""SLpM"": ""5.18"", ""Str. Acc."": ""54%"", ""SApM"": ""2.75"", ""Str. Def"": ""63%"", ""TD Avg."": ""1.83"", ""TD Acc."": ""40%"", ""TD Def."": ""83%"", ""Sub. Avg."": ""0.1""}"
Wang Cong,http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a,9-1-0,The Joker,"5' 6""",125 lbs.,"66""",Southpaw,"May 15, 1992",6.22,56%,2.19,,0.78,75%,84%,0.8,"{""Height"": ""5' 6\"""", ""Weight"": ""125 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""May 15, 1992"", ""SLpM"": ""6.22"", ""Str. Acc."": ""56%"", ""SApM"": ""2.19"", ""Str. Def"": ""63%"", ""TD Avg."": ""0.78"", ""TD Acc."": ""75%"", ""TD Def."": ""84%"", ""Sub. Avg."": ""0.8""}"
Jakub Wiklacz,http://ufcstats.com/fighter-details/6902fcf0610dd303,18-3-2,,"5' 10""",135 lbs.,"72""",Orthodox,"Sep 10, 1996",3.40,44%,3.87,,0.00,0%,41%,2.5,"{""Height"": ""5' 10\"""", ""Weight"": ""135 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Sep 10, 1996"", ""SLpM"": ""3.40"", ""Str. Acc."": ""44%"", ""SApM"": ""3.87"", ""Str. Def"": ""46%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""41%"", ""Sub. Avg."": ""2.5""}"
Klaudia Sygula,http://ufcstats.com/fighter-details/9f5e3c20ce40b344,8-2-0,,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 30, 1998",7.27,48%,5.50,,0.41,12%,40%,0.0,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 30, 1998"", ""SLpM"": ""7.27"", ""Str. Acc."": ""48%"", ""SApM"": ""5.50"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.41"", ""TD Acc."": ""12%"", ""TD Def."": ""40%"", ""Sub. Avg."": ""0.0""}"
